ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Visits_ActivePeriod,Gender_Female
15670,-0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-0.545662100456621,-0.050000000000000044,0.537786445636275,0.0,0.09741550695825053,0.0,1
15671,0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,2.127853881278539,1.7999999999999998,-0.24037055095075568,0.0,3.1968190854870775,2.216117216117216,0
15672,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,0.4132420091324201,0.85,-1.061433447098976,0.0,-0.6043737574552683,1.0256410256410255,1
15673,0.3333333333333333,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0296803652968036,1.6499999999999997,-0.7020965382740125,2.252939764818814,-0.10636182902584494,0.0,1
15674,1.8333333333333333,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.9836065573770494,1.1689497716894977,-0.3,-0.24085811799122367,1.0285577153827694,-0.24751491053677932,-0.45054945054945056,1
15675,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,-0.2808219178082192,-0.5,0.11847879083373962,0.0,-0.31510934393638174,-0.6007326007326007,0
15676,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.1963470319634703,1.4000000000000001,-1.1033642125792296,0.0,-0.44731610337972166,1.6007326007326006,1
15677,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.3515981735159817,1.5499999999999996,-0.6309117503656753,0.0,0.30616302186878736,1.8424908424908422,0
15678,-1.5833333333333333,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.9890710382513661,-0.1506849315068493,0.049999999999999975,-0.32666991711360305,2.3998080153587713,-0.49105367793240556,-0.5018315018315017,0
15679,0.16666666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.07990867579908675,-0.25,-0.49731838127742556,0.0,-0.48707753479125254,-0.30036630036630035,1
15680,0.6666666666666666,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.3995433789954338,-0.39999999999999997,1.059483178937104,0.0,-0.3737574552683896,-0.5018315018315017,0
15681,-1.6666666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.01092896174863388,0.8493150684931506,-0.20000000000000004,0.16674792784007808,1.999760019198464,-0.5019880715705766,-0.39926739926739924,0
15682,2.5833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.0182648401826484,0.3,-0.2988785958069234,0.0,0.15805168986083498,0.40293040293040283,1
15683,0.5833333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.3424657534246575,0.44999999999999996,0.4485616772306193,0.0,0.8369781312127237,0.6043956043956041,0
15684,3.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.13470319634703196,0.049999999999999975,0.6806435884934179,2.3998080153587713,-0.035785288270377656,-0.19780219780219785,1
15685,-0.16666666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.3515981735159817,3.05,-0.30570453437347633,2.3998080153587713,0.4741550695825049,0.608058608058608,1
15686,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.17579908675799086,0.6999999999999998,-1.1033642125792296,0.0,-0.6093439363817097,0.802197802197802,1
15687,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.07534246575342465,-0.35000000000000003,-0.5899561189663578,0.0,-0.3240556660039761,-0.39926739926739924,1
15688,-0.16666666666666666,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.547945205479452,-0.35000000000000003,0.8742077035592393,0.0,-0.47813121272365805,-0.5018315018315017,1
