ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,HasReferences,NumberOfReferences,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,TotalNumberOfActivities,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
10045,-1.4166666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,752,0.29,1,38.39,82.54,0.0838,0.0691,0.0137,1
10046,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,364,73,0.02,2,22.7,0.0,0.0411,0.0,0.0027,1
10047,-1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,233,0.24,1,38.63,100.0,0.0644,0.0644,0.0222,0
10048,1.5833333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,171,0.47,1,40.72,100.0,0.1462,0.1462,0.0219,1
10049,2.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,423,0.52,1,41.55,0.0,0.2648,0.0,0.1749,0
10050,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,239,0.08,1,43.37,0.0,0.1548,0.0,0.0278,0
10051,-0.9166666666666666,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,440,0.11,2,60.88,100.0,0.0955,0.0955,0.0219,1
10052,-0.16666666666666666,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,358,0.07,1,16.39,0.0,0.0363,0.0,0.0219,0
10053,0.8333333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,1007,0.0,1,14.78,0.0,0.0109,0.0,0.0,0
10054,2.4166666666666665,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,183,1085,0.02,1,23.59,0.0,0.0719,0.0,0.0055,0
10055,2.5833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,226,0.0,1,38.63,0.0,0.0442,0.0,0.0,1
10056,0.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,155,0.27,1,25.92,0.0,0.1226,0.0,0.0192,1
10057,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,183,216,0.03,1,18.28,0.0,0.0463,0.0,0.0109,1
