ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Contract_Duration,PercentageOfVisits,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
21743,0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.08447488584474885,0.3999999999999999,2.3998080153587713,-0.36282306163021866,3.3253968253968256,-0.30036630036630035,1
21744,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-0.5547945205479452,2.0,0.0,4.190854870775348,0.0,2.402930402930403,1
21745,0.5833333333333334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.4726027397260274,-0.35000000000000003,0.0,-0.025844930417494943,0.0,-0.39926739926739924,1
21746,0.8333333333333334,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,3.6506849315068495,0.15,0.045356371490280774,0.9095427435387674,0.25396825396825395,0.9999999999999999,1
21747,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.5136986301369864,0.65,0.0,0.6699801192842945,0.0,1.6007326007326006,1
21748,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.2990867579908676,0.20000000000000004,0.0,0.06063618290258458,0.0,0.2124542124542124,0
21749,-0.3333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.19406392694063926,-0.5,2.3998080153587713,-0.5149105367793241,2.111111111111111,-0.6007326007326007,1
21750,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.22146118721461186,-0.10000000000000002,0.0,0.05367793240556663,0.0,-0.09890109890109892,1
21751,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.045662100456621,-0.39999999999999997,0.0,-0.1113320079522863,0.0,-0.5018315018315017,0
21752,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-0.02511415525114155,1.5499999999999996,0.0,1.914512922465209,0.0,1.9157509157509154,0
21753,0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.1095890410958904,-0.35000000000000003,0.0,-0.73558648111332,0.0,-0.39560439560439553,0
